,type,airline,delay,scheduledTime,actualTime,date,Day of the week
0,departure,southwest airlines,26.0,2024-05-09 18:00:00,2024-05-09 18:26:00,2024-05-09,Thursday
1,departure,southwest airlines,13.0,2024-05-09 18:20:00,2024-05-09 18:32:00,2024-05-09,Thursday
4,departure,delta air lines,75.0,2024-05-09 18:30:00,,2024-05-09,Thursday
8,departure,delta air lines,3.0,2024-05-09 18:53:00,2024-05-09 18:55:00,2024-05-09,Thursday
9,departure,southwest airlines,59.0,2024-05-09 19:00:00,,2024-05-09,Thursday
11,departure,alaska airlines,38.0,2024-05-09 19:52:00,2024-05-09 20:30:00,2024-05-09,Thursday
12,departure,hawaiian airlines,6.0,2024-05-09 19:59:00,2024-05-09 20:05:00,2024-05-09,Thursday
13,departure,jetblue airways,6.0,2024-05-09 19:59:00,2024-05-09 20:05:00,2024-05-09,Thursday
20,departure,american airlines,24.0,2024-05-09 20:05:00,2024-05-09 20:29:00,2024-05-09,Thursday
21,departure,frontier airlines,99.0,2024-05-09 20:13:00,,2024-05-09,Thursday
22,departure,aeromexico,5.0,2024-05-09 20:15:00,2024-05-09 20:19:00,2024-05-09,Thursday
25,departure,delta air lines,5.0,2024-05-09 20:15:00,2024-05-09 20:19:00,2024-05-09,Thursday
27,departure,frontier airlines,8.0,2024-05-09 20:19:00,2024-05-09 20:26:00,2024-05-09,Thursday
28,departure,southwest airlines,14.0,2024-05-09 20:20:00,2024-05-09 20:34:00,2024-05-09,Thursday
30,departure,united airlines,67.0,2024-05-09 20:26:00,,2024-05-09,Thursday
31,departure,aeromexico,6.0,2024-05-09 20:30:00,2024-05-09 20:36:00,2024-05-09,Thursday
34,departure,delta air lines,6.0,2024-05-09 20:30:00,2024-05-09 20:36:00,2024-05-09,Thursday
35,departure,southwest airlines,33.0,2024-05-09 20:35:00,2024-05-09 21:07:00,2024-05-09,Thursday
37,departure,aeromexico,45.0,2024-05-09 20:45:00,,2024-05-09,Thursday
40,departure,delta air lines,45.0,2024-05-09 20:45:00,,2024-05-09,Thursday
41,departure,aeromexico,28.0,2024-05-09 20:48:00,2024-05-09 21:15:00,2024-05-09,Thursday
44,departure,delta air lines,28.0,2024-05-09 20:48:00,2024-05-09 21:15:00,2024-05-09,Thursday
45,departure,aeromexico,32.0,2024-05-09 20:50:00,2024-05-09 21:21:00,2024-05-09,Thursday
47,departure,delta air lines,32.0,2024-05-09 20:50:00,2024-05-09 21:21:00,2024-05-09,Thursday
48,departure,aeromexico,10.0,2024-05-09 20:51:00,2024-05-09 21:00:00,2024-05-09,Thursday
51,departure,delta air lines,10.0,2024-05-09 20:51:00,2024-05-09 21:00:00,2024-05-09,Thursday
53,departure,aeromexico,5.0,2024-05-09 20:52:00,2024-05-09 20:57:00,2024-05-09,Thursday
57,departure,delta air lines,5.0,2024-05-09 20:52:00,2024-05-09 20:57:00,2024-05-09,Thursday
58,departure,aeromexico,5.0,2024-05-09 20:55:00,2024-05-09 21:00:00,2024-05-09,Thursday
63,departure,delta air lines,5.0,2024-05-09 20:55:00,2024-05-09 21:00:00,2024-05-09,Thursday
64,departure,delta air lines,9.0,2024-05-09 20:55:00,2024-05-09 21:04:00,2024-05-09,Thursday
65,departure,aeromexico,45.0,2024-05-09 20:55:00,,2024-05-09,Thursday
69,departure,delta air lines,45.0,2024-05-09 20:55:00,,2024-05-09,Thursday
70,departure,aeromexico,11.0,2024-05-09 20:55:00,2024-05-09 21:05:00,2024-05-09,Thursday
73,departure,delta air lines,11.0,2024-05-09 20:55:00,2024-05-09 21:05:00,2024-05-09,Thursday
74,departure,southwest airlines,53.0,2024-05-09 20:55:00,2024-05-09 21:47:00,2024-05-09,Thursday
75,departure,aeromexico,10.0,2024-05-09 20:59:00,2024-05-09 21:09:00,2024-05-09,Thursday
77,departure,delta air lines,10.0,2024-05-09 20:59:00,2024-05-09 21:09:00,2024-05-09,Thursday
78,departure,aeromexico,7.0,2024-05-09 21:00:00,2024-05-09 21:06:00,2024-05-09,Thursday
81,departure,delta air lines,7.0,2024-05-09 21:00:00,2024-05-09 21:06:00,2024-05-09,Thursday
83,departure,aeromexico,10.0,2024-05-09 21:00:00,2024-05-09 21:10:00,2024-05-09,Thursday
87,departure,delta air lines,10.0,2024-05-09 21:00:00,2024-05-09 21:10:00,2024-05-09,Thursday
91,departure,delta air lines,17.0,2024-05-09 21:01:00,2024-05-09 21:17:00,2024-05-09,Thursday
92,departure,aeromexico,50.0,2024-05-09 21:05:00,,2024-05-09,Thursday
94,departure,delta air lines,50.0,2024-05-09 21:05:00,,2024-05-09,Thursday
95,departure,aeromexico,,2024-05-09 21:05:00,2024-05-09 21:05:00,2024-05-09,Thursday
97,departure,delta air lines,,2024-05-09 21:05:00,2024-05-09 21:05:00,2024-05-09,Thursday
101,departure,delta air lines,9.0,2024-05-09 21:05:00,2024-05-09 21:14:00,2024-05-09,Thursday
103,departure,delta air lines,38.0,2024-05-09 21:05:00,2024-05-09 21:42:00,2024-05-09,Thursday
105,departure,aeromexico,19.0,2024-05-09 21:05:00,2024-05-09 21:23:00,2024-05-09,Thursday
108,departure,delta air lines,19.0,2024-05-09 21:05:00,2024-05-09 21:23:00,2024-05-09,Thursday
109,departure,aeromexico,16.0,2024-05-09 21:10:00,2024-05-09 21:25:00,2024-05-09,Thursday
112,departure,delta air lines,16.0,2024-05-09 21:10:00,2024-05-09 21:25:00,2024-05-09,Thursday
114,departure,aeromexico,17.0,2024-05-09 21:10:00,2024-05-09 21:27:00,2024-05-09,Thursday
117,departure,delta air lines,17.0,2024-05-09 21:10:00,2024-05-09 21:27:00,2024-05-09,Thursday
120,departure,aeromexico,8.0,2024-05-09 21:15:00,2024-05-09 21:22:00,2024-05-09,Thursday
123,departure,delta air lines,8.0,2024-05-09 21:15:00,2024-05-09 21:22:00,2024-05-09,Thursday
124,departure,aeromexico,10.0,2024-05-09 21:15:00,2024-05-09 21:24:00,2024-05-09,Thursday
126,departure,delta air lines,10.0,2024-05-09 21:15:00,2024-05-09 21:24:00,2024-05-09,Thursday
127,departure,delta air lines,135.0,2024-05-09 21:20:00,,2024-05-09,Thursday
128,departure,aeromexico,14.0,2024-05-09 21:25:00,2024-05-09 21:39:00,2024-05-09,Thursday
130,departure,delta air lines,14.0,2024-05-09 21:25:00,2024-05-09 21:39:00,2024-05-09,Thursday
132,departure,delta air lines,9.0,2024-05-09 21:25:00,2024-05-09 21:34:00,2024-05-09,Thursday
134,departure,aeromexico,119.0,2024-05-09 21:26:00,,2024-05-09,Thursday
137,departure,delta air lines,119.0,2024-05-09 21:26:00,,2024-05-09,Thursday
138,departure,delta air lines,2.0,2024-05-09 21:30:00,2024-05-09 21:31:00,2024-05-09,Thursday
140,departure,aeromexico,3.0,2024-05-09 21:35:00,2024-05-09 21:37:00,2024-05-09,Thursday
142,departure,delta air lines,3.0,2024-05-09 21:35:00,2024-05-09 21:37:00,2024-05-09,Thursday
